"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test setting an invalid electrum URL

    Tests that when a user:
    1. Navigates to settings
    2. Attempts to set an invalid electrum URL
    3. The system shows appropriate error message
    ","30953","test_set_invalid_electrum_url[False]","test.spec","Fri Nov 21 11:10:02 UTC 2025","broken","Fri Nov 21 11:10:33 UTC 2025","","test_settings","",""
"
    Test case to create wrong ln invoice with insufficient amount
    ","30202","test_create_wrong_amount_invoice","test.spec","Fri Nov 21 11:35:34 UTC 2025","broken","Fri Nov 21 11:36:04 UTC 2025","","test_rgb20_channel_tx","",""
"Test setting an invalid bitcoind host

    Tests that when a user:
    1. Navigates to settings
    2. Attempts to set an invalid bitcoind host
    3. The system shows appropriate error message
    ","30962","test_set_invalid_bitcoind_host[False]","test.spec","Fri Nov 21 11:09:00 UTC 2025","broken","Fri Nov 21 11:09:31 UTC 2025","","test_settings","",""
"Issuing RGB25 asset with ask auth for important operations on","30434","test_ask_auth_for_imp_question_issue_rgb_25_on","test.spec","Fri Nov 21 11:15:03 UTC 2025","broken","Fri Nov 21 11:15:33 UTC 2025","","test_ask_auth_for_imp_operations","",""
"Testing with an invalid announce address","30897","test_set_valid_announce_address[False]","test.spec","Fri Nov 21 11:07:58 UTC 2025","broken","Fri Nov 21 11:08:28 UTC 2025","","test_settings","",""
"Test send rgb25 asset with expired invoice","45634","test_send_rgb25_with_expired_invoice","test.spec","Fri Nov 21 11:37:28 UTC 2025","broken","Fri Nov 21 11:38:14 UTC 2025","","test_send_and_receive_rgb25_asset","",""
"Test for downloading debug logs","6321","test_download_debug_log[False]","test.spec","Fri Nov 21 11:13:03 UTC 2025","passed","Fri Nov 21 11:13:09 UTC 2025","","test_about","",""
"Test setting an invalid bitcoind port

    Tests that when a user:
    1. Navigates to settings
    2. Attempts to set an invalid bitcoind port
    3. The system shows appropriate error message
    ","30983","test_set_invalid_bitcoind_port[False]","test.spec","Fri Nov 21 11:09:31 UTC 2025","broken","Fri Nov 21 11:10:02 UTC 2025","","test_settings","",""
"
    Test issuing rgb25 asset without sufficient sats.
    ","27515","test_issue_rgb25_without_sufficient_sats[False]","test.spec","Fri Nov 21 11:26:14 UTC 2025","passed","Fri Nov 21 11:26:42 UTC 2025","","test_issue_rgb25_asset","",""
"Test for hiding exhausted asset","8772","test_hide_exhausted_asset_off","test.spec","Fri Nov 21 11:24:48 UTC 2025","failed","Fri Nov 21 11:24:57 UTC 2025","","test_hide_exhausted_asset","",""
"Test creating channel with actual value.","59280","test_create_channel_with_actual_value","test.spec","Fri Nov 21 11:21:02 UTC 2025","broken","Fri Nov 21 11:22:02 UTC 2025","","test_create_and_close_channel","",""
"
    Test the backup page functionality.
    This test case covers the following scenarios:
    - Create a embedded wallet
    - Configure backup
    - Take a backup of wallet
    ","20885","test_backup[False]","test.spec","Fri Nov 21 11:03:56 UTC 2025","broken","Fri Nov 21 11:04:17 UTC 2025","","test_backup_and_restore","",""
"
    Test the creation of a channel with a wrong node URI.
    ","9899","test_create_channel_with_wrong_node_uri","test.spec","Fri Nov 21 11:22:02 UTC 2025","passed","Fri Nov 21 11:22:12 UTC 2025","","test_create_and_close_channel","",""
"Sending RGB20 asset with ask auth for important operations on","30395","test_ask_auth_for_imp_question_send_rgb20_on","test.spec","Fri Nov 21 11:14:32 UTC 2025","broken","Fri Nov 21 11:15:03 UTC 2025","","test_ask_auth_for_imp_operations","",""
"
    Test setting a default expiry time in hours for lightning invoices.

    Tests that a user can:
    1. Navigate to settings
    2. Set a new default expiry time in hours
    3. Verify the expiry time is saved and applied
    ","58527","test_default_expiry_time_hour[False]","test.spec","Fri Nov 21 11:05:57 UTC 2025","broken","Fri Nov 21 11:06:55 UTC 2025","","test_settings","",""
