"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Set default fee rate","1","0","Sets default fee rate for sending assets","0"
"3","","0","Set default expiry time","0","0","Sets default expiry time For lightning invoice","0"
"1","","0","Set a Bitcoind Port","0","0","Setting an invalid bitcoind port for the wallet","0"
"1","","0","Set indexer URL","0","0","Setting an invalid indexer url for the wallet","0"
"1","","0","Set RGB proxy URL","0","0","Setting an invalid RGB proxy url for the wallet","0"
"1","","0","Set indexer URL","0","0","Setting an indexer url for the wallet","0"
"1","","0","Set default minimum confirmation","0","0","Sets default minimum confirmation For sending assets","0"
"1","","0","Set announce alias","0","0","Setting an announce alias for this","0"
"1","","0","Set RGB proxy URL","0","0","Setting a RGB proxy url for the wallet","0"
"1","","0","Set announce address","0","0","Setting an announce address for this","0"
"1","","0","Set a bitcoind host","0","0","Setting an invalid bitcoind host for the wallet","0"
